Epoch 139 | learning rate: 0.0018 | Train Loss: 0.7537 | Train Acc: 0.7610 | Valid Loss: 1.2621 | Valid Acc: 0.5666 | Epoch Time: 5.41 s
Epoch 140 | learning rate: 0.0018 | Train Loss: 0.7520 | Train Acc: 0.7612 | Valid Loss: 1.2641 | Valid Acc: 0.5656 | Epoch Time: 5.28 s
Epoch 141 | learning rate: 0.0017 | Train Loss: 0.7510 | Train Acc: 0.7603 | Valid Loss: 1.2668 | Valid Acc: 0.5652 | Epoch Time: 5.10 s
Epoch 142 | learning rate: 0.0017 | Train Loss: 0.7495 | Train Acc: 0.7625 | Valid Loss: 1.2600 | Valid Acc: 0.5688 | Epoch Time: 6.07 s
Epoch 143 | learning rate: 0.0016 | Train Loss: 0.7484 | Train Acc: 0.7624 | Valid Loss: 1.2627 | Valid Acc: 0.5672 | Epoch Time: 6.43 s
Epoch 144 | learning rate: 0.0016 | Train Loss: 0.7475 | Train Acc: 0.7640 | Valid Loss: 1.2625 | Valid Acc: 0.5662 | Epoch Time: 6.34 s
Epoch 145 | learning rate: 0.0015 | Train Loss: 0.7467 | Train Acc: 0.7630 | Valid Loss: 1.2616 | Valid Acc: 0.5650 | Epoch Time: 6.16 s
Epoch 146 | learning rate: 0.0015 | Train Loss: 0.7453 | Train Acc: 0.7626 | Valid Loss: 1.2640 | Valid Acc: 0.5672 | Epoch Time: 6.02 s
Epoch 147 | learning rate: 0.0015 | Train Loss: 0.7443 | Train Acc: 0.7643 | Valid Loss: 1.2611 | Valid Acc: 0.5660 | Epoch Time: 6.26 s
Epoch 148 | learning rate: 0.0015 | Train Loss: 0.7428 | Train Acc: 0.7640 | Valid Loss: 1.2615 | Valid Acc: 0.5684 | Epoch Time: 6.43 s
Epoch 149 | learning rate: 0.0015 | Train Loss: 0.7420 | Train Acc: 0.7649 | Valid Loss: 1.2654 | Valid Acc: 0.5670 | Epoch Time: 6.43 s
Epoch 150 | learning rate: 0.0014 | Train Loss: 0.7413 | Train Acc: 0.7642 | Valid Loss: 1.2635 | Valid Acc: 0.5662 | Epoch Time: 6.38 s
Epoch 151 | learning rate: 0.0014 | Train Loss: 0.7402 | Train Acc: 0.7660 | Valid Loss: 1.2603 | Valid Acc: 0.5684 | Epoch Time: 6.24 s
Epoch 152 | learning rate: 0.0013 | Train Loss: 0.7393 | Train Acc: 0.7670 | Valid Loss: 1.2619 | Valid Acc: 0.5664 | Epoch Time: 6.21 s
Epoch 153 | learning rate: 0.0013 | Train Loss: 0.7384 | Train Acc: 0.7674 | Valid Loss: 1.2638 | Valid Acc: 0.5650 | Epoch Time: 6.09 s
Epoch 154 | learning rate: 0.0012 | Train Loss: 0.7376 | Train Acc: 0.7677 | Valid Loss: 1.2606 | Valid Acc: 0.5668 | Epoch Time: 6.49 s
Epoch 155 | learning rate: 0.0012 | Train Loss: 0.7364 | Train Acc: 0.7673 | Valid Loss: 1.2612 | Valid Acc: 0.5680 | Epoch Time: 6.44 s
Epoch 156 | learning rate: 0.0012 | Train Loss: 0.7356 | Train Acc: 0.7683 | Valid Loss: 1.2617 | Valid Acc: 0.5702 | Epoch Time: 6.08 s
Epoch 157 | learning rate: 0.0012 | Train Loss: 0.7347 | Train Acc: 0.7692 | Valid Loss: 1.2611 | Valid Acc: 0.5676 | Epoch Time: 5.90 s
Epoch 158 | learning rate: 0.0011 | Train Loss: 0.7339 | Train Acc: 0.7691 | Valid Loss: 1.2667 | Valid Acc: 0.5652 | Epoch Time: 5.62 s
Epoch 159 | learning rate: 0.0011 | Train Loss: 0.7333 | Train Acc: 0.7696 | Valid Loss: 1.2632 | Valid Acc: 0.5646 | Epoch Time: 5.51 s
