Epoch 066 | learning rate: 0.0107 | Train Loss: 1.0268 | Train Acc: 0.6480 | Valid Loss: 1.3238 | Valid Acc: 0.5542 | Epoch Time: 3.10 s
Epoch 067 | learning rate: 0.0102 | Train Loss: 1.0172 | Train Acc: 0.6520 | Valid Loss: 1.3106 | Valid Acc: 0.5444 | Epoch Time: 2.98 s
Epoch 068 | learning rate: 0.0102 | Train Loss: 1.0160 | Train Acc: 0.6517 | Valid Loss: 1.3190 | Valid Acc: 0.5468 | Epoch Time: 3.31 s
Epoch 069 | learning rate: 0.0097 | Train Loss: 1.0088 | Train Acc: 0.6556 | Valid Loss: 1.3177 | Valid Acc: 0.5424 | Epoch Time: 3.38 s
Epoch 070 | learning rate: 0.0097 | Train Loss: 1.0041 | Train Acc: 0.6573 | Valid Loss: 1.2991 | Valid Acc: 0.5538 | Epoch Time: 3.43 s
Epoch 071 | learning rate: 0.0092 | Train Loss: 1.0009 | Train Acc: 0.6573 | Valid Loss: 1.3089 | Valid Acc: 0.5460 | Epoch Time: 3.41 s
Epoch 072 | learning rate: 0.0092 | Train Loss: 0.9991 | Train Acc: 0.6602 | Valid Loss: 1.3081 | Valid Acc: 0.5452 | Epoch Time: 3.08 s
Epoch 073 | learning rate: 0.0087 | Train Loss: 0.9904 | Train Acc: 0.6604 | Valid Loss: 1.3286 | Valid Acc: 0.5456 | Epoch Time: 3.07 s
Epoch 074 | learning rate: 0.0087 | Train Loss: 0.9891 | Train Acc: 0.6604 | Valid Loss: 1.3094 | Valid Acc: 0.5490 | Epoch Time: 3.25 s
Epoch 075 | learning rate: 0.0083 | Train Loss: 0.9843 | Train Acc: 0.6636 | Valid Loss: 1.2924 | Valid Acc: 0.5536 | Epoch Time: 3.11 s
Epoch 076 | learning rate: 0.0083 | Train Loss: 0.9781 | Train Acc: 0.6667 | Valid Loss: 1.2927 | Valid Acc: 0.5598 | Epoch Time: 3.07 s
Epoch 077 | learning rate: 0.0079 | Train Loss: 0.9754 | Train Acc: 0.6699 | Valid Loss: 1.2914 | Valid Acc: 0.5626 | Epoch Time: 3.02 s
Epoch 078 | learning rate: 0.0079 | Train Loss: 0.9736 | Train Acc: 0.6686 | Valid Loss: 1.3097 | Valid Acc: 0.5450 | Epoch Time: 3.19 s
Epoch 079 | learning rate: 0.0075 | Train Loss: 0.9684 | Train Acc: 0.6716 | Valid Loss: 1.2858 | Valid Acc: 0.5600 | Epoch Time: 3.27 s
Epoch 080 | learning rate: 0.0075 | Train Loss: 0.9628 | Train Acc: 0.6725 | Valid Loss: 1.2972 | Valid Acc: 0.5566 | Epoch Time: 3.14 s
Epoch 081 | learning rate: 0.0071 | Train Loss: 0.9584 | Train Acc: 0.6753 | Valid Loss: 1.3018 | Valid Acc: 0.5554 | Epoch Time: 3.24 s
Epoch 082 | learning rate: 0.0071 | Train Loss: 0.9541 | Train Acc: 0.6755 | Valid Loss: 1.3138 | Valid Acc: 0.5450 | Epoch Time: 3.29 s
Epoch 083 | learning rate: 0.0071 | Train Loss: 0.9551 | Train Acc: 0.6740 | Valid Loss: 1.3101 | Valid Acc: 0.5450 | Epoch Time: 3.21 s
Epoch 084 | learning rate: 0.0068 | Train Loss: 0.9492 | Train Acc: 0.6783 | Valid Loss: 1.2827 | Valid Acc: 0.5598 | Epoch Time: 3.20 s
Epoch 085 | learning rate: 0.0068 | Train Loss: 0.9460 | Train Acc: 0.6800 | Valid Loss: 1.2933 | Valid Acc: 0.5598 | Epoch Time: 3.14 s
Epoch 086 | learning rate: 0.0064 | Train Loss: 0.9436 | Train Acc: 0.6803 | Valid Loss: 1.2843 | Valid Acc: 0.5584 | Epoch Time: 3.13 s
Epoch 087 | learning rate: 0.0064 | Train Loss: 0.9386 | Train Acc: 0.6838 | Valid Loss: 1.2921 | Valid Acc: 0.5578 | Epoch Time: 3.11 s
Epoch 088 | learning rate: 0.0061 | Train Loss: 0.9368 | Train Acc: 0.6840 | Valid Loss: 1.2929 | Valid Acc: 0.5552 | Epoch Time: 3.37 s
Epoch 089 | learning rate: 0.0061 | Train Loss: 0.9329 | Train Acc: 0.6839 | Valid Loss: 1.2915 | Valid Acc: 0.5586 | Epoch Time: 2.97 s
Epoch 090 | learning rate: 0.0058 | Train Loss: 0.9300 | Train Acc: 0.6857 | Valid Loss: 1.2960 | Valid Acc: 0.5572 | Epoch Time: 5.42 s
Epoch 091 | learning rate: 0.0058 | Train Loss: 0.9265 | Train Acc: 0.6879 | Valid Loss: 1.2879 | Valid Acc: 0.5556 | Epoch Time: 4.27 s
Epoch 092 | learning rate: 0.0055 | Train Loss: 0.9221 | Train Acc: 0.6890 | Valid Loss: 1.2849 | Valid Acc: 0.5614 | Epoch Time: 3.87 s
Epoch 093 | learning rate: 0.0055 | Train Loss: 0.9204 | Train Acc: 0.6912 | Valid Loss: 1.2846 | Valid Acc: 0.5620 | Epoch Time: 3.67 s
Epoch 094 | learning rate: 0.0052 | Train Loss: 0.9178 | Train Acc: 0.6919 | Valid Loss: 1.2850 | Valid Acc: 0.5592 | Epoch Time: 3.89 s
Epoch 095 | learning rate: 0.0052 | Train Loss: 0.9141 | Train Acc: 0.6907 | Valid Loss: 1.2873 | Valid Acc: 0.5588 | Epoch Time: 3.45 s
Epoch 096 | learning rate: 0.0050 | Train Loss: 0.9120 | Train Acc: 0.6931 | Valid Loss: 1.2805 | Valid Acc: 0.5554 | Epoch Time: 3.79 s
Epoch 097 | learning rate: 0.0050 | Train Loss: 0.9082 | Train Acc: 0.6953 | Valid Loss: 1.2830 | Valid Acc: 0.5612 | Epoch Time: 3.91 s
Epoch 098 | learning rate: 0.0050 | Train Loss: 0.9072 | Train Acc: 0.6956 | Valid Loss: 1.2939 | Valid Acc: 0.5544 | Epoch Time: 3.18 s
Epoch 099 | learning rate: 0.0047 | Train Loss: 0.9039 | Train Acc: 0.6967 | Valid Loss: 1.2797 | Valid Acc: 0.5594 | Epoch Time: 3.09 s
Epoch 100 | learning rate: 0.0047 | Train Loss: 0.9020 | Train Acc: 0.6975 | Valid Loss: 1.2878 | Valid Acc: 0.5608 | Epoch Time: 3.22 s
Epoch 101 | learning rate: 0.0045 | Train Loss: 0.8993 | Train Acc: 0.6985 | Valid Loss: 1.2886 | Valid Acc: 0.5594 | Epoch Time: 3.09 s
Epoch 102 | learning rate: 0.0045 | Train Loss: 0.8963 | Train Acc: 0.7006 | Valid Loss: 1.2850 | Valid Acc: 0.5606 | Epoch Time: 2.99 s
Epoch 103 | learning rate: 0.0043 | Train Loss: 0.8935 | Train Acc: 0.7027 | Valid Loss: 1.2846 | Valid Acc: 0.5614 | Epoch Time: 3.04 s
Epoch 104 | learning rate: 0.0043 | Train Loss: 0.8926 | Train Acc: 0.7023 | Valid Loss: 1.2929 | Valid Acc: 0.5552 | Epoch Time: 3.16 s
Epoch 105 | learning rate: 0.0040 | Train Loss: 0.8900 | Train Acc: 0.7025 | Valid Loss: 1.2829 | Valid Acc: 0.5598 | Epoch Time: 3.28 s
Epoch 106 | learning rate: 0.0040 | Train Loss: 0.8873 | Train Acc: 0.7035 | Valid Loss: 1.2866 | Valid Acc: 0.5606 | Epoch Time: 3.37 s
Epoch 107 | learning rate: 0.0038 | Train Loss: 0.8854 | Train Acc: 0.7033 | Valid Loss: 1.2806 | Valid Acc: 0.5634 | Epoch Time: 3.03 s
Epoch 108 | learning rate: 0.0038 | Train Loss: 0.8832 | Train Acc: 0.7036 | Valid Loss: 1.2812 | Valid Acc: 0.5612 | Epoch Time: 2.93 s
Epoch 109 | learning rate: 0.0037 | Train Loss: 0.8806 | Train Acc: 0.7067 | Valid Loss: 1.2908 | Valid Acc: 0.5578 | Epoch Time: 2.98 s
Epoch 110 | learning rate: 0.0037 | Train Loss: 0.8790 | Train Acc: 0.7070 | Valid Loss: 1.2842 | Valid Acc: 0.5598 | Epoch Time: 3.34 s
Epoch 111 | learning rate: 0.0035 | Train Loss: 0.8770 | Train Acc: 0.7082 | Valid Loss: 1.2902 | Valid Acc: 0.5572 | Epoch Time: 3.23 s
Epoch 112 | learning rate: 0.0035 | Train Loss: 0.8755 | Train Acc: 0.7087 | Valid Loss: 1.2848 | Valid Acc: 0.5634 | Epoch Time: 3.16 s
Epoch 113 | learning rate: 0.0033 | Train Loss: 0.8733 | Train Acc: 0.7097 | Valid Loss: 1.2752 | Valid Acc: 0.5656 | Epoch Time: 3.23 s
Epoch 114 | learning rate: 0.0033 | Train Loss: 0.8713 | Train Acc: 0.7093 | Valid Loss: 1.2858 | Valid Acc: 0.5578 | Epoch Time: 3.29 s
Epoch 115 | learning rate: 0.0033 | Train Loss: 0.8695 | Train Acc: 0.7102 | Valid Loss: 1.2768 | Valid Acc: 0.5638 | Epoch Time: 3.10 s
Epoch 116 | learning rate: 0.0031 | Train Loss: 0.8671 | Train Acc: 0.7115 | Valid Loss: 1.2891 | Valid Acc: 0.5596 | Epoch Time: 3.26 s
Epoch 117 | learning rate: 0.0031 | Train Loss: 0.8657 | Train Acc: 0.7125 | Valid Loss: 1.2808 | Valid Acc: 0.5602 | Epoch Time: 3.05 s
Epoch 118 | learning rate: 0.0030 | Train Loss: 0.8643 | Train Acc: 0.7137 | Valid Loss: 1.2771 | Valid Acc: 0.5622 | Epoch Time: 3.02 s
Epoch 119 | learning rate: 0.0030 | Train Loss: 0.8630 | Train Acc: 0.7133 | Valid Loss: 1.2801 | Valid Acc: 0.5622 | Epoch Time: 3.12 s
Epoch 120 | learning rate: 0.0028 | Train Loss: 0.8613 | Train Acc: 0.7136 | Valid Loss: 1.2776 | Valid Acc: 0.5618 | Epoch Time: 3.06 s
Epoch 121 | learning rate: 0.0028 | Train Loss: 0.8592 | Train Acc: 0.7150 | Valid Loss: 1.2745 | Valid Acc: 0.5674 | Epoch Time: 3.49 s
Epoch 122 | learning rate: 0.0027 | Train Loss: 0.8575 | Train Acc: 0.7161 | Valid Loss: 1.2778 | Valid Acc: 0.5666 | Epoch Time: 3.53 s
Epoch 123 | learning rate: 0.0027 | Train Loss: 0.8568 | Train Acc: 0.7152 | Valid Loss: 1.2916 | Valid Acc: 0.5552 | Epoch Time: 6.26 s
Epoch 124 | learning rate: 0.0026 | Train Loss: 0.8551 | Train Acc: 0.7166 | Valid Loss: 1.2757 | Valid Acc: 0.5656 | Epoch Time: 4.81 s
Epoch 125 | learning rate: 0.0026 | Train Loss: 0.8533 | Train Acc: 0.7182 | Valid Loss: 1.2799 | Valid Acc: 0.5666 | Epoch Time: 3.85 s
